puesto_id,familia,puesto,alias_busqueda,tipo_perfil,nivel_evaluado,preparacion_estimada_pct,lectura,incorporacion,fundamentos_0a4,tareas_0a4,herramientas_0a4,practica_operativa_0a4,colaboracion_0a4,puntaje_sin_tope_pct,tope_experiencia_pct,materias_ids,materias,aporte_curricular,brechas_prioritarias,por_que_porcentaje,evidencia_practica_a_validar,fuentes_ids,fuentes_web,paginas_programa,certeza,aporte_optativo,mercado,fecha_corte,fuentes_anuncios_ids,base_laboral,materias_transversales_ids,practica_profesionalizante,evaluacion
R023,Desarrollo de software,Desarrollador de SDKs y bibliotecas,SDK Developer; Library Engineer,Especialización,Inicial,55,Base parcial; especialización necesaria,Orientación posible tras especialización y proyecto verificable,3,2,2,1,3,53.75,100,DSO250;DSO200;DSO240;DSO010,Programación Orientada a Objetos; Diseño de Software; Metodología y Testing; Comprensión y Producción de Textos,"Interfaces, patrones, reutilización y pruebas aportan base para librerías","Compatibilidad, versionado semántico, diseño público y publicación de paquetes","Interfaces, patrones, reutilización y pruebas aportan base para librerías. La valoración de tareas es 2/4 y la de herramientas 2/4 porque resta: Compatibilidad, versionado semántico, diseño público y publicación de paquetes. Preparación operativa: 1/4; la práctica específica no está acreditada para este perfil.","Biblioteca documentada con pruebas, versiones y ejemplo de consumo",P2;DEV,https://www.onetonline.org/link/summary/15-1252.00,DSO250: 46; DSO200: 35-36; DSO240: 44-45; DSO010: 23-25,"Media: programa explícito, desempeño individual no medido",No estimado: faltan programas de optativa/electivo,Internacional general; elegibilidad e idioma se verifican por oferta,2026-09-13,,Marco ocupacional/técnico; sin anuncio específico asociado,DSO020;DSO030;DSO160;DSO170;DSO270,"200 h curriculares, dominio y desempeño no documentados; aporte específico condicionado",Inferencia analítica del programa; no medición de habilidad individual ni probabilidad de empleo
R105,Ingeniería de datos e inteligencia artificial,Ingeniero de big data,Big Data Engineer; Hadoop Engineer,Especialización,Inicial,55,Base parcial; especialización necesaria,Orientación posible tras especialización y proyecto verificable,3,2,2,1,3,53.75,100,DSO260;DSO230;DSO220;DSO190,Computación en la Nube; Base de Datos Avanzadas; Redes y Sistemas Distribuidos; Ciencia de Datos Aplicada,"Hadoop, MapReduce y sistemas distribuidos aparecen explícitos","Ecosistema actual, procesamiento masivo, particionado y operación de clústeres","Hadoop, MapReduce y sistemas distribuidos aparecen explícitos. La valoración de tareas es 2/4 y la de herramientas 2/4 porque resta: Ecosistema actual, procesamiento masivo, particionado y operación de clústeres. Preparación operativa: 1/4; la práctica específica no está acreditada para este perfil.","Trabajo distribuido con particiones, fallos simulados y medición",P2;DE,https://cloud.google.com/learn/certification/data-engineer,DSO260: 47-48; DSO230: 43-44; DSO220: 42-43; DSO190: 34-35,"Media: programa explícito, desempeño individual no medido",No estimado: faltan programas de optativa/electivo,Internacional general; elegibilidad e idioma se verifican por oferta,2026-09-13,,Marco ocupacional/técnico; sin anuncio específico asociado,DSO010;DSO020;DSO030;DSO160;DSO170;DSO270,"200 h curriculares, dominio y desempeño no documentados; aporte específico condicionado",Inferencia analítica del programa; no medición de habilidad individual ni probabilidad de empleo
R102,Ingeniería de datos e inteligencia artificial,Ingeniero de datos junior,Junior Data Engineer,Ocupación,Inicial,55,Base parcial; especialización necesaria,Orientación posible tras especialización y proyecto verificable,3,2,2,1,3,53.75,100,DSO120;DSO230;DSO260;DSO190;DSO250,Base de Datos Relacionales; Base de Datos Avanzadas; Computación en la Nube; Ciencia de Datos Aplicada; Programación Orientada a Objetos,"SQL, almacenes, Java y Hadoop/MapReduce aportan base relevante","Pipelines mantenibles, orquestación, formatos, pruebas y lenguaje del puesto","SQL, almacenes, Java y Hadoop/MapReduce aportan base relevante. La valoración de tareas es 2/4 y la de herramientas 2/4 porque resta: Pipelines mantenibles, orquestación, formatos, pruebas y lenguaje del puesto. Preparación operativa: 1/4; la práctica específica no está acreditada para este perfil.","Pipeline incremental con validación, reintentos y documentación",P2;DE;J_DE,https://cloud.google.com/learn/certification/data-engineer ; https://www.diligenciagroup.com/hubfs/2026%20Junior%20Data%20Engineer%20Jobspec%20v1.1.pdf?hsLang=en,DSO120: 38-40; DSO230: 43-44; DSO260: 47-48; DSO190: 34-35; DSO250: 46,"Media: programa explícito, desempeño individual no medido",No estimado: faltan programas de optativa/electivo,Internacional general; elegibilidad e idioma se verifican por oferta,2026-09-13,J_DE,Marco y anuncio de empleador,DSO010;DSO020;DSO030;DSO160;DSO170;DSO270,"200 h curriculares, dominio y desempeño no documentados; aporte específico condicionado",Inferencia analítica del programa; no medición de habilidad individual ni probabilidad de empleo
R060,Plataformas empresariales y automatización,Consultor de implementación SaaS,SaaS Implementation Specialist; Implementation Consultant,Ocupación,Inicial,55,Base parcial; especialización necesaria,Orientación posible tras especialización y proyecto verificable,3,3,1,1,2,55.0,100,DSO080;DSO120;DSO040;DSO270;DSO290,Fundamentos de Análisis de Sistemas; Base de Datos Relacionales; Taller de Tecnología; Técnicas Laborales para el Desarrollo de Software; Programación Web,"Requisitos, datos e integración ayudan a configurar soluciones para clientes","Producto específico, migraciones, capacitación y comunicación de proyecto en idioma del cliente","Requisitos, datos e integración ayudan a configurar soluciones para clientes. La valoración de tareas es 3/4 y la de herramientas 1/4 porque resta: Producto específico, migraciones, capacitación y comunicación de proyecto en idioma del cliente. Preparación operativa: 1/4; la práctica específica no está acreditada para este perfil.","Implementación de prueba con migración, aceptación y manual de usuarios",P2;BA;IIBA;J_BA,https://www.onetonline.org/link/summary/15-1211.00 ; https://www.iiba.org/knowledgehub/the-business-analysis-standard/ ; https://jobs.lever.co/vo2-group/4a1ba40c-9aee-40c5-b0f8-9940734b895e,DSO080: 33-34; DSO120: 38-40; DSO040: 28-29; DSO270: 29-30; DSO290: 46-47,"Media: programa explícito, desempeño individual no medido",No estimado: faltan programas de optativa/electivo,Internacional general; elegibilidad e idioma se verifican por oferta,2026-09-13,J_BA,Marco y anuncio de empleador,DSO010;DSO020;DSO030;DSO160;DSO170,"200 h curriculares, dominio y desempeño no documentados; aporte específico condicionado",Inferencia analítica del programa; no medición de habilidad individual ni probabilidad de empleo
R148,"Redes, cloud y DevOps",Administrador cloud junior,Junior Cloud Administrator; Cloud Operations Engineer,Ocupación,Inicial,55,Base parcial; especialización necesaria,Orientación posible tras especialización y proyecto verificable,3,2,2,1,3,53.75,100,DSO260;DSO210;DSO220;DSO120,Computación en la Nube; Sistemas Operativos Aplicados; Redes y Sistemas Distribuidos; Base de Datos Relacionales,"Infraestructura AWS/GCP, sistemas y servicios brindan base inicial","IAM detallado, monitoreo, costos, respaldo y operación del proveedor","Infraestructura AWS/GCP, sistemas y servicios brindan base inicial. La valoración de tareas es 2/4 y la de herramientas 2/4 porque resta: IAM detallado, monitoreo, costos, respaldo y operación del proveedor. Preparación operativa: 1/4; la práctica específica no está acreditada para este perfil.",Desplegar y operar un entorno pequeño con alertas y restauración,P2;GCP;AWS;FINOPS,https://cloud.google.com/learn/certification/cloud-engineer ; https://aws.amazon.com/certification/certified-developer-associate/ ; https://www.finops.org/framework/,DSO260: 47-48; DSO210: 40-42; DSO220: 42-43; DSO120: 38-40,"Media: programa explícito, desempeño individual no medido",No estimado: faltan programas de optativa/electivo,Internacional general; elegibilidad e idioma se verifican por oferta,2026-09-13,,Marco ocupacional/técnico; sin anuncio específico asociado,DSO010;DSO020;DSO030;DSO160;DSO170;DSO270,"200 h curriculares, dominio y desempeño no documentados; aporte específico condicionado",Inferencia analítica del programa; no medición de habilidad individual ni probabilidad de empleo
R143,"Redes, cloud y DevOps",Administrador de redes,Network Administrator,Ocupación,Inicial,55,Base parcial; especialización necesaria,Orientación posible tras especialización y proyecto verificable,3,2,2,1,3,53.75,100,DSO220;DSO210;DSO260,Redes y Sistemas Distribuidos; Sistemas Operativos Aplicados; Computación en la Nube,"Redes, VPN y servicios permiten comenzar administración supervisada","Routing/switching empresarial, cambios seguros, monitoreo y controles de acceso","Redes, VPN y servicios permiten comenzar administración supervisada. La valoración de tareas es 2/4 y la de herramientas 2/4 porque resta: Routing/switching empresarial, cambios seguros, monitoreo y controles de acceso. Preparación operativa: 1/4; la práctica específica no está acreditada para este perfil.",Administrar una red segmentada con respaldo de configuración y pruebas,P2;NET;SYS,https://www.cisco.com/site/us/en/learn/training-certifications/exams/ccna.html ; https://www.onetonline.org/link/summary/15-1244.00,DSO220: 42-43; DSO210: 40-42; DSO260: 47-48,"Media: programa explícito, desempeño individual no medido",No estimado: faltan programas de optativa/electivo,Internacional general; elegibilidad e idioma se verifican por oferta,2026-09-13,,Marco ocupacional/técnico; sin anuncio específico asociado,DSO010;DSO020;DSO030;DSO160;DSO170;DSO270,"200 h curriculares, dominio y desempeño no documentados; aporte específico condicionado",Inferencia analítica del programa; no medición de habilidad individual ni probabilidad de empleo
R149,"Redes, cloud y DevOps",Desarrollador de aplicaciones AWS,AWS Cloud Developer,Especialización,Inicial,55,Base parcial; especialización necesaria,Orientación posible tras especialización y proyecto verificable,3,2,2,1,3,53.75,100,DSO260;DSO250;DSO290;DSO120;DSO240,Computación en la Nube; Programación Orientada a Objetos; Programación Web; Base de Datos Relacionales; Metodología y Testing,"AWS, desarrollo de software y datos tienen cobertura parcial combinada","Servicios concretos, SDK, IAM, despliegue automatizado y diagnóstico cloud","AWS, desarrollo de software y datos tienen cobertura parcial combinada. La valoración de tareas es 2/4 y la de herramientas 2/4 porque resta: Servicios concretos, SDK, IAM, despliegue automatizado y diagnóstico cloud. Preparación operativa: 1/4; la práctica específica no está acreditada para este perfil.","Aplicación AWS con permisos mínimos, pruebas y monitoreo",P2;AWS;DEV,https://aws.amazon.com/certification/certified-developer-associate/ ; https://www.onetonline.org/link/summary/15-1252.00,DSO260: 47-48; DSO250: 46; DSO290: 46-47; DSO120: 38-40; DSO240: 44-45,"Media: programa explícito, desempeño individual no medido",No estimado: faltan programas de optativa/electivo,Internacional general; elegibilidad e idioma se verifican por oferta,2026-09-13,,Marco ocupacional/técnico; sin anuncio específico asociado,DSO010;DSO020;DSO030;DSO160;DSO170;DSO270,"200 h curriculares, dominio y desempeño no documentados; aporte específico condicionado",Inferencia analítica del programa; no medición de habilidad individual ni probabilidad de empleo
R150,"Redes, cloud y DevOps",Desarrollador de aplicaciones GCP,Google Cloud Developer,Especialización,Inicial,55,Base parcial; especialización necesaria,Orientación posible tras especialización y proyecto verificable,3,2,2,1,3,53.75,100,DSO260;DSO250;DSO290;DSO120,Computación en la Nube; Programación Orientada a Objetos; Programación Web; Base de Datos Relacionales,"GCP, servidor y datos permiten construir una base cloud","Productos GCP del puesto, identidad, despliegue y observabilidad","GCP, servidor y datos permiten construir una base cloud. La valoración de tareas es 2/4 y la de herramientas 2/4 porque resta: Productos GCP del puesto, identidad, despliegue y observabilidad. Preparación operativa: 1/4; la práctica específica no está acreditada para este perfil.","Aplicación GCP con persistencia, alertas y control de accesos",P2;GCP;DEV,https://cloud.google.com/learn/certification/cloud-engineer ; https://www.onetonline.org/link/summary/15-1252.00,DSO260: 47-48; DSO250: 46; DSO290: 46-47; DSO120: 38-40,"Media: programa explícito, desempeño individual no medido",No estimado: faltan programas de optativa/electivo,Internacional general; elegibilidad e idioma se verifican por oferta,2026-09-13,,Marco ocupacional/técnico; sin anuncio específico asociado,DSO010;DSO020;DSO030;DSO160;DSO170;DSO270,"200 h curriculares, dominio y desempeño no documentados; aporte específico condicionado",Inferencia analítica del programa; no medición de habilidad individual ni probabilidad de empleo
R153,"Redes, cloud y DevOps",Ingeniero DevOps junior,Junior DevOps Engineer,Ocupación,Inicial,55,Base parcial; especialización necesaria,Orientación posible tras especialización y proyecto verificable,3,2,2,1,3,53.75,100,DSO260;DSO210;DSO220;DSO240;DSO250,Computación en la Nube; Sistemas Operativos Aplicados; Redes y Sistemas Distribuidos; Metodología y Testing; Programación Orientada a Objetos,"Linux, Docker, GitHub, programación y testing son una base concreta","CI/CD, infraestructura como código, secretos, observabilidad y práctica operativa","Linux, Docker, GitHub, programación y testing son una base concreta. La valoración de tareas es 2/4 y la de herramientas 2/4 porque resta: CI/CD, infraestructura como código, secretos, observabilidad y práctica operativa. Preparación operativa: 1/4; la práctica específica no está acreditada para este perfil.","Pipeline que construya, pruebe y despliegue con rollback",P2;K8S;SRE;J_DEVOPS,https://training.linuxfoundation.org/certification/certified-kubernetes-administrator-cka/ ; https://sre.google/sre-book/monitoring-distributed-systems/ ; https://jobs.smartrecruiters.com/TimocomGmbH1/744000121363118-devops-engineer-m-w-d-,DSO260: 47-48; DSO210: 40-42; DSO220: 42-43; DSO240: 44-45; DSO250: 46,"Media: programa explícito, desempeño individual no medido",No estimado: faltan programas de optativa/electivo,Internacional general; elegibilidad e idioma se verifican por oferta,2026-09-13,J_DEVOPS,Marco y anuncio de empleador,DSO010;DSO020;DSO030;DSO160;DSO170;DSO270,"200 h curriculares, dominio y desempeño no documentados; aporte específico condicionado",Inferencia analítica del programa; no medición de habilidad individual ni probabilidad de empleo
R234,Sistemas especializados y ocupaciones digitales adyacentes,Desarrollador de software financiero,Fintech Developer; Payments Software Developer,Especialización,Inicial,55,Base parcial; especialización necesaria,Orientación posible tras especialización y proyecto verificable,3,2,2,1,3,53.75,100,DSO250;DSO120;DSO290;DSO260;DSO240,Programación Orientada a Objetos; Base de Datos Relacionales; Programación Web; Computación en la Nube; Metodología y Testing,"Transacciones, servicios y seguridad aportan base técnica","Pagos, conciliación, idempotencia, auditoría y reglas del dominio","Transacciones, servicios y seguridad aportan base técnica. La valoración de tareas es 2/4 y la de herramientas 2/4 porque resta: Pagos, conciliación, idempotencia, auditoría y reglas del dominio. Preparación operativa: 1/4; la práctica específica no está acreditada para este perfil.","Flujo de pagos simulado con duplicados, fallos y conciliación",P2;DEV;J_AUTO,https://www.onetonline.org/link/summary/15-1252.00 ; https://jobs.smartrecruiters.com/Inetum2/744000142569136-qa-automation-engineer-junior-java-developer?trid=7d1dcdfa-96a8-4e55-bb9c-0db211f5a9b3,DSO250: 46; DSO120: 38-40; DSO290: 46-47; DSO260: 47-48; DSO240: 44-45,"Media: programa explícito, desempeño individual no medido",No estimado: faltan programas de optativa/electivo,Internacional general; elegibilidad e idioma se verifican por oferta,2026-09-13,J_AUTO,Marco y anuncio de empleador,DSO010;DSO020;DSO030;DSO160;DSO170;DSO270,"200 h curriculares, dominio y desempeño no documentados; aporte específico condicionado",Inferencia analítica del programa; no medición de habilidad individual ni probabilidad de empleo
R140,Soporte y operación de sistemas,Administrador de respaldos y recuperación,Backup Administrator; Disaster Recovery Technician,Especialización,Inicial,55,Base parcial; especialización necesaria,Orientación posible tras especialización y proyecto verificable,3,2,2,1,3,53.75,100,DSO210;DSO120;DSO220;DSO260,Sistemas Operativos Aplicados; Base de Datos Relacionales; Redes y Sistemas Distribuidos; Computación en la Nube,Respaldos de sistemas/datos y disponibilidad están presentes,"Herramienta corporativa, retención, copias inmutables y pruebas RPO/RTO","Respaldos de sistemas/datos y disponibilidad están presentes. La valoración de tareas es 2/4 y la de herramientas 2/4 porque resta: Herramienta corporativa, retención, copias inmutables y pruebas RPO/RTO. Preparación operativa: 1/4; la práctica específica no está acreditada para este perfil.",Recuperación documentada con tiempos medidos y verificación de integridad,P2;SYS;DBA;SRE,https://www.onetonline.org/link/summary/15-1244.00 ; https://www.onetonline.org/link/summary/15-1242.00 ; https://sre.google/sre-book/monitoring-distributed-systems/,DSO210: 40-42; DSO120: 38-40; DSO220: 42-43; DSO260: 47-48,"Media: programa explícito, desempeño individual no medido",No estimado: faltan programas de optativa/electivo,Internacional general; elegibilidad e idioma se verifican por oferta,2026-09-13,,Marco ocupacional/técnico; sin anuncio específico asociado,DSO010;DSO020;DSO030;DSO160;DSO170;DSO270,"200 h curriculares, dominio y desempeño no documentados; aporte específico condicionado",Inferencia analítica del programa; no medición de habilidad individual ni probabilidad de empleo
R067,Calidad y testing,Automatizador de pruebas de interfaz web,Web Test Automation Engineer; Selenium Engineer; Playwright Engineer,Especialización,Inicial,50,Base parcial; especialización necesaria,Orientación posible tras especialización y proyecto verificable,3,2,1,1,3,48.75,100,DSO240;DSO290;DSO250;DSO200,Metodología y Testing; Programación Web; Programación Orientada a Objetos; Diseño de Software,Programación y técnicas de prueba se transfieren a la UI,"Selenium/Playwright/Cypress, localizadores, sincronización y pruebas estables","Programación y técnicas de prueba se transfieren a la UI. La valoración de tareas es 2/4 y la de herramientas 1/4 porque resta: Selenium/Playwright/Cypress, localizadores, sincronización y pruebas estables. Preparación operativa: 1/4; la práctica específica no está acreditada para este perfil.",Suite web que evite dependencias temporales y produzca evidencias de fallos,P2;QA;J_AUTO,https://www.onetonline.org/link/summary/15-1253.00 ; https://jobs.smartrecruiters.com/Inetum2/744000142569136-qa-automation-engineer-junior-java-developer?trid=7d1dcdfa-96a8-4e55-bb9c-0db211f5a9b3,DSO240: 44-45; DSO290: 46-47; DSO250: 46; DSO200: 35-36,"Media: programa explícito, desempeño individual no medido",No estimado: faltan programas de optativa/electivo,Internacional general; elegibilidad e idioma se verifican por oferta,2026-09-13,J_AUTO,Marco y anuncio de empleador,DSO010;DSO020;DSO030;DSO160;DSO170;DSO270,"200 h curriculares, dominio y desempeño no documentados; aporte específico condicionado",Inferencia analítica del programa; no medición de habilidad individual ni probabilidad de empleo
R076,Calidad y testing,Ingeniero de datos de prueba,Test Data Engineer,Especialización,Inicial,50,Base parcial; especialización necesaria,Orientación posible tras especialización y proyecto verificable,3,2,1,1,3,48.75,100,DSO120;DSO230;DSO240;DSO150;DSO260,Base de Datos Relacionales; Base de Datos Avanzadas; Metodología y Testing; Legislación de las TIC; Computación en la Nube,"Datos, validación y privacidad permiten comprender conjuntos de prueba","Síntesis, anonimización, versionado y aprovisionamiento reproducible","Datos, validación y privacidad permiten comprender conjuntos de prueba. La valoración de tareas es 2/4 y la de herramientas 1/4 porque resta: Síntesis, anonimización, versionado y aprovisionamiento reproducible. Preparación operativa: 1/4; la práctica específica no está acreditada para este perfil.",Generar datos referenciales consistentes sin exponer datos personales,P2;QA;DBA;ASVS,https://www.onetonline.org/link/summary/15-1253.00 ; https://www.onetonline.org/link/summary/15-1242.00 ; https://owasp.github.io/www-project-application-security-verification-standard/,DSO120: 38-40; DSO230: 43-44; DSO240: 44-45; DSO150: 51; DSO260: 47-48,"Media: programa explícito, desempeño individual no medido",No estimado: faltan programas de optativa/electivo,Internacional general; elegibilidad e idioma se verifican por oferta,2026-09-13,,Marco ocupacional/técnico; sin anuncio específico asociado,DSO010;DSO020;DSO030;DSO160;DSO170;DSO270,"200 h curriculares, dominio y desempeño no documentados; aporte específico condicionado",Inferencia analítica del programa; no medición de habilidad individual ni probabilidad de empleo
R071,Calidad y testing,Tester de seguridad de aplicaciones,Application Security Tester,Especialización,Inicial,50,Base parcial; especialización necesaria,Orientación posible tras especialización y proyecto verificable,3,2,1,1,3,48.75,100,DSO240;DSO260;DSO290;DSO120,Metodología y Testing; Computación en la Nube; Programación Web; Base de Datos Relacionales,"El plan incluye pruebas de seguridad, inyección y codificación defensiva","Metodología de verificación, herramientas especializadas y explotación controlada","El plan incluye pruebas de seguridad, inyección y codificación defensiva. La valoración de tareas es 2/4 y la de herramientas 1/4 porque resta: Metodología de verificación, herramientas especializadas y explotación controlada. Preparación operativa: 1/4; la práctica específica no está acreditada para este perfil.",Revisión de una app de laboratorio contra controles ASVS con remediaciones,P2;ASVS;PENT,https://owasp.github.io/www-project-application-security-verification-standard/ ; https://www.onetonline.org/link/summary/15-1299.04,DSO240: 44-45; DSO260: 47-48; DSO290: 46-47; DSO120: 38-40,"Media: programa explícito, desempeño individual no medido",No estimado: faltan programas de optativa/electivo,Internacional general; elegibilidad e idioma se verifican por oferta,2026-09-13,,Marco ocupacional/técnico; sin anuncio específico asociado,DSO010;DSO020;DSO030;DSO160;DSO170;DSO270,"200 h curriculares, dominio y desempeño no documentados; aporte específico condicionado",Inferencia analítica del programa; no medición de habilidad individual ni probabilidad de empleo
R074,Calidad y testing,Tester de videojuegos,Game QA Tester,Especialización,Inicial,50,Base parcial; especialización necesaria,Orientación posible tras especialización y proyecto verificable,3,2,1,1,3,48.75,100,DSO240;DSO200;DSO130;DSO250,Metodología y Testing; Diseño de Software; Programación Estructurada; Programación Orientada a Objetos,Diseño de pruebas y reproducción de defectos se transfieren a juegos,"Motores, plataformas, estados de juego y certificación de consola si corresponde","Diseño de pruebas y reproducción de defectos se transfieren a juegos. La valoración de tareas es 2/4 y la de herramientas 1/4 porque resta: Motores, plataformas, estados de juego y certificación de consola si corresponde. Preparación operativa: 1/4; la práctica específica no está acreditada para este perfil.",Informe reproducible de errores y matriz de estados de un juego,P2;QA;GAME,https://www.onetonline.org/link/summary/15-1253.00 ; https://www.onetonline.org/link/summary/15-1255.01,DSO240: 44-45; DSO200: 35-36; DSO130: 45-46; DSO250: 46,"Media: programa explícito, desempeño individual no medido",No estimado: faltan programas de optativa/electivo,Internacional general; elegibilidad e idioma se verifican por oferta,2026-09-13,,Marco ocupacional/técnico; sin anuncio específico asociado,DSO010;DSO020;DSO030;DSO160;DSO170;DSO270,"200 h curriculares, dominio y desempeño no documentados; aporte específico condicionado",Inferencia analítica del programa; no medición de habilidad individual ni probabilidad de empleo
R162,Ciberseguridad,Analista SOC nivel 1,SOC Analyst Tier 1; Junior Security Analyst,Ocupación,Inicial,50,Base parcial; especialización necesaria,Orientación posible tras especialización y proyecto verificable,3,2,1,1,3,48.75,100,DSO260;DSO220;DSO210;DSO240,Computación en la Nube; Redes y Sistemas Distribuidos; Sistemas Operativos Aplicados; Metodología y Testing,"Sistemas, redes, amenazas y seguridad de código ayudan a interpretar alertas","SIEM, EDR, análisis de logs, triage, playbooks y práctica de incidentes","Sistemas, redes, amenazas y seguridad de código ayudan a interpretar alertas. La valoración de tareas es 2/4 y la de herramientas 1/4 porque resta: SIEM, EDR, análisis de logs, triage, playbooks y práctica de incidentes. Preparación operativa: 1/4; la práctica específica no está acreditada para este perfil.",Investigar alertas de laboratorio y escalar con evidencias y contexto,P2;NICE;SOC;J_SOC,https://www.nist.gov/itl/applied-cybersecurity/nice/nice-framework-resource-center/getting-started ; https://learn.microsoft.com/en-us/credentials/certifications/resources/study-guides/sc-200 ; https://hsa-cayman.imgix.net/images/Junior-Security-Operations-Centre-Analyst-Advert-and-JD-13Aug2024.pdf,DSO260: 47-48; DSO220: 42-43; DSO210: 40-42; DSO240: 44-45,"Media: programa explícito, desempeño individual no medido",No estimado: faltan programas de optativa/electivo,Internacional general; elegibilidad e idioma se verifican por oferta,2026-09-13,J_SOC,Marco y anuncio de empleador,DSO010;DSO020;DSO030;DSO160;DSO170;DSO270,"200 h curriculares, dominio y desempeño no documentados; aporte específico condicionado",Inferencia analítica del programa; no medición de habilidad individual ni probabilidad de empleo
R171,Ciberseguridad,Analista de vulnerabilidades,Vulnerability Management Analyst,Ocupación,Inicial,50,Base parcial; especialización necesaria,Orientación posible tras especialización y proyecto verificable,3,2,1,1,3,48.75,100,DSO260;DSO210;DSO220;DSO240,Computación en la Nube; Sistemas Operativos Aplicados; Redes y Sistemas Distribuidos; Metodología y Testing,Seguridad y pruebas permiten comprender fallos técnicos,"Escáneres, inventario, priorización contextual, remediación y verificación","Seguridad y pruebas permiten comprender fallos técnicos. La valoración de tareas es 2/4 y la de herramientas 1/4 porque resta: Escáneres, inventario, priorización contextual, remediación y verificación. Preparación operativa: 1/4; la práctica específica no está acreditada para este perfil.",Ciclo de hallazgos desde detección hasta cierre comprobado,P2;NICE;ASVS,https://www.nist.gov/itl/applied-cybersecurity/nice/nice-framework-resource-center/getting-started ; https://owasp.github.io/www-project-application-security-verification-standard/,DSO260: 47-48; DSO210: 40-42; DSO220: 42-43; DSO240: 44-45,"Media: programa explícito, desempeño individual no medido",No estimado: faltan programas de optativa/electivo,Internacional general; elegibilidad e idioma se verifican por oferta,2026-09-13,,Marco ocupacional/técnico; sin anuncio específico asociado,DSO010;DSO020;DSO030;DSO160;DSO170;DSO270,"200 h curriculares, dominio y desempeño no documentados; aporte específico condicionado",Inferencia analítica del programa; no medición de habilidad individual ni probabilidad de empleo
R185,Ciberseguridad,Especialista en seguridad móvil,Mobile Security Engineer; Android Security Tester,Especialización,Inicial,50,Base parcial; especialización necesaria,Orientación posible tras especialización y proyecto verificable,3,2,1,1,3,48.75,100,DSO300;DSO260;DSO240;DSO210,Programación de Aplicaciones para Celulares; Computación en la Nube; Metodología y Testing; Sistemas Operativos Aplicados,Android y pautas CERT de programación segura están incluidos,"Pruebas móviles especializadas, almacenamiento, IPC, ingeniería inversa y plataforma iOS","Android y pautas CERT de programación segura están incluidos. La valoración de tareas es 2/4 y la de herramientas 1/4 porque resta: Pruebas móviles especializadas, almacenamiento, IPC, ingeniería inversa y plataforma iOS. Preparación operativa: 1/4; la práctica específica no está acreditada para este perfil.",Auditoría de aplicación móvil de laboratorio con remediaciones verificadas,P2;ASVS;PENT;ANDROID,https://owasp.github.io/www-project-application-security-verification-standard/ ; https://www.onetonline.org/link/summary/15-1299.04 ; https://developer.android.com/courses/android-basics-compose/course?authuser=0,DSO300: 47; DSO260: 47-48; DSO240: 44-45; DSO210: 40-42,"Media: programa explícito, desempeño individual no medido",No estimado: faltan programas de optativa/electivo,Internacional general; elegibilidad e idioma se verifican por oferta,2026-09-13,,Marco ocupacional/técnico; sin anuncio específico asociado,DSO010;DSO020;DSO030;DSO160;DSO170;DSO270,"200 h curriculares, dominio y desempeño no documentados; aporte específico condicionado",Inferencia analítica del programa; no medición de habilidad individual ni probabilidad de empleo
R177,Ciberseguridad,Ingeniero de PKI y criptografía aplicada,PKI Engineer; Cryptographic Services Engineer,Especialización,Inicial,50,Base parcial; especialización necesaria,Orientación posible tras especialización y proyecto verificable,3,2,1,1,3,48.75,100,DSO260;DSO220;DSO050,Computación en la Nube; Redes y Sistemas Distribuidos; Lógica Matemática,"PKI, claves, hash y firmas aparecen explícitos","Ciclo de certificados, HSM, protocolos, rotación y operación de confianza","PKI, claves, hash y firmas aparecen explícitos. La valoración de tareas es 2/4 y la de herramientas 1/4 porque resta: Ciclo de certificados, HSM, protocolos, rotación y operación de confianza. Preparación operativa: 1/4; la práctica específica no está acreditada para este perfil.","PKI de laboratorio con emisión, revocación y recuperación documentadas",P2;NICE;ASVS,https://www.nist.gov/itl/applied-cybersecurity/nice/nice-framework-resource-center/getting-started ; https://owasp.github.io/www-project-application-security-verification-standard/,DSO260: 47-48; DSO220: 42-43; DSO050: 32,"Media: programa explícito, desempeño individual no medido",No estimado: faltan programas de optativa/electivo,Internacional general; elegibilidad e idioma se verifican por oferta,2026-09-13,,Marco ocupacional/técnico; sin anuncio específico asociado,DSO010;DSO020;DSO030;DSO160;DSO170;DSO270,"200 h curriculares, dominio y desempeño no documentados; aporte específico condicionado",Inferencia analítica del programa; no medición de habilidad individual ni probabilidad de empleo
